"","x_coord","y_coord","complete_prob_17","complete_prob_18","complete_prob_19"
"44",-8.5,-10,0.899662985686226,0.892994435137459,0.929720768189808
"45",-8,-10,0.892797222186137,0.891725715586155,0.928624348123086
"46",-7.5,-10,0.885856167138631,0.890433850462508,0.927344812428154
"47",-7,-10,0.878898818937648,0.889143420657164,0.925913802414215
"48",-6.5,-10,0.871984175977129,0.88787900706077,0.924362959390473
"49",-6,-10,0.865171236651015,0.886665190563971,0.922723924666132
"50",-5.5,-10,0.858518999353247,0.885526552057415,0.921028339550395
"51",-5,-10,0.852086462477768,0.884487672431749,0.919307845352467
"52",-4.5,-10,0.845932624418517,0.883573132577617,0.91759408338155
"53",-4,-10,0.840116483569436,0.882807513385668,0.915918694946849
"54",-3.5,-10,0.834697038324466,0.882215395746547,0.914313321357567
"55",-3,-10,0.829733287077549,0.881821360550901,0.912809603922908
"56",-2.5,-10,0.825284228222626,0.881649988689377,0.911439183952075
"57",-2,-10,0.821408860153638,0.88172586105262,0.910233702754273
"58",-1.5,-10,0.818166181264526,0.882073558531278,0.909224801638705
"59",-1,-10,0.81561518994923,0.882717662015996,0.908444121914573
"60",-0.5,-10,0.813814884601693,0.883682752397422,0.907923304891084
"61",0,-10,0.812824263615856,0.884993410566201,0.907693991877439
"62",0.5,-10,0.812681184016599,0.886663701133567,0.907782541668618
"63",1,-10,0.81333893735256,0.888665623593093,0.908176271977901
"64",1.5,-10,0.814729673803316,0.890960661158941,0.908845002190198
"65",2,-10,0.816785543548443,0.893510297045273,0.909758469151135
"66",2.5,-10,0.819438696767518,0.896276014466248,0.910886409706335
"67",3,-10,0.822621283640118,0.899219296636028,0.912198560701425
"68",3.5,-10,0.826265454345821,0.902301626768774,0.913664658982029
"69",4,-10,0.830303359064203,0.905484488078646,0.915254441393772
"70",4.5,-10,0.834667147974841,0.908729363779806,0.916937644782279
"71",5,-10,0.839288971257312,0.911997737086414,0.918684005993175
"72",5.5,-10,0.844100979091193,0.915251091212631,0.920463261872085
"73",6,-10,0.84903532165606,0.918450909372619,0.922245149264633
